영업일자,매출수량,영업장명,메뉴명,월,요일,주중,주말,공휴일,연속된_공휴일_남은일수,성수기,시즌
2023-01-01,0,느티나무 셀프BBQ,1인 수저세트,1,일요일,1,0,1,1.0,1,겨울
2023-01-02,0,느티나무 셀프BBQ,1인 수저세트,1,월요일,1,0,0,0.0,1,겨울
2023-01-03,0,느티나무 셀프BBQ,1인 수저세트,1,화요일,1,0,0,0.0,1,겨울
2023-01-04,0,느티나무 셀프BBQ,1인 수저세트,1,수요일,1,0,0,0.0,1,겨울
2023-01-05,0,느티나무 셀프BBQ,1인 수저세트,1,목요일,1,0,0,0.0,1,겨울
2023-01-06,0,느티나무 셀프BBQ,1인 수저세트,1,금요일,0,1,0,0.0,1,겨울
2023-01-07,0,느티나무 셀프BBQ,1인 수저세트,1,토요일,0,1,0,0.0,1,겨울
2023-01-08,0,느티나무 셀프BBQ,1인 수저세트,1,일요일,1,0,0,0.0,1,겨울
2023-01-09,0,느티나무 셀프BBQ,1인 수저세트,1,월요일,1,0,0,0.0,1,겨울
2023-01-10,0,느티나무 셀프BBQ,1인 수저세트,1,화요일,1,0,0,0.0,1,겨울
2023-01-11,0,느티나무 셀프BBQ,1인 수저세트,1,수요일,1,0,0,0.0,1,겨울
2023-01-12,0,느티나무 셀프BBQ,1인 수저세트,1,목요일,1,0,0,0.0,1,겨울
2023-01-13,0,느티나무 셀프BBQ,1인 수저세트,1,금요일,0,1,0,0.0,1,겨울
2023-01-14,0,느티나무 셀프BBQ,1인 수저세트,1,토요일,0,1,0,0.0,1,겨울
2023-01-15,0,느티나무 셀프BBQ,1인 수저세트,1,일요일,1,0,0,0.0,1,겨울
2023-01-16,0,느티나무 셀프BBQ,1인 수저세트,1,월요일,1,0,0,0.0,1,겨울
2023-01-17,8,느티나무 셀프BBQ,1인 수저세트,1,화요일,1,0,0,0.0,1,겨울
2023-01-18,0,느티나무 셀프BBQ,1인 수저세트,1,수요일,1,0,0,0.0,1,겨울
2023-01-19,0,느티나무 셀프BBQ,1인 수저세트,1,목요일,1,0,0,0.0,1,겨울
2023-01-20,0,느티나무 셀프BBQ,1인 수저세트,1,금요일,0,1,0,0.0,1,겨울
2023-01-21,0,느티나무 셀프BBQ,1인 수저세트,1,토요일,0,1,1,2.0,1,겨울
2023-01-22,0,느티나무 셀프BBQ,1인 수저세트,1,일요일,1,0,1,2.0,1,겨울
2023-01-23,4,느티나무 셀프BBQ,1인 수저세트,1,월요일,1,0,1,2.0,1,겨울
2023-01-24,2,느티나무 셀프BBQ,1인 수저세트,1,화요일,1,0,1,1.0,1,겨울
2023-01-25,0,느티나무 셀프BBQ,1인 수저세트,1,수요일,1,0,0,0.0,1,겨울
2023-01-26,0,느티나무 셀프BBQ,1인 수저세트,1,목요일,1,0,0,0.0,1,겨울
2023-01-27,8,느티나무 셀프BBQ,1인 수저세트,1,금요일,0,1,0,0.0,1,겨울
2023-01-28,0,느티나무 셀프BBQ,1인 수저세트,1,토요일,0,1,0,0.0,1,겨울
2023-01-29,8,느티나무 셀프BBQ,1인 수저세트,1,일요일,1,0,0,0.0,1,겨울
2023-01-30,0,느티나무 셀프BBQ,1인 수저세트,1,월요일,1,0,0,0.0,1,겨울
2023-01-31,4,느티나무 셀프BBQ,1인 수저세트,1,화요일,1,0,0,0.0,1,겨울
2023-02-01,6,느티나무 셀프BBQ,1인 수저세트,2,수요일,1,0,0,0.0,1,겨울
2023-02-02,2,느티나무 셀프BBQ,1인 수저세트,2,목요일,1,0,0,0.0,1,겨울
2023-02-03,0,느티나무 셀프BBQ,1인 수저세트,2,금요일,0,1,0,0.0,1,겨울
2023-02-04,2,느티나무 셀프BBQ,1인 수저세트,2,토요일,0,1,0,0.0,1,겨울
2023-02-05,2,느티나무 셀프BBQ,1인 수저세트,2,일요일,1,0,0,0.0,1,겨울
2023-02-06,4,느티나무 셀프BBQ,1인 수저세트,2,월요일,1,0,0,0.0,1,겨울
2023-02-07,5,느티나무 셀프BBQ,1인 수저세트,2,화요일,1,0,0,0.0,1,겨울
2023-02-08,0,느티나무 셀프BBQ,1인 수저세트,2,수요일,1,0,0,0.0,1,겨울
2023-02-09,6,느티나무 셀프BBQ,1인 수저세트,2,목요일,1,0,0,0.0,1,겨울
2023-02-10,6,느티나무 셀프BBQ,1인 수저세트,2,금요일,0,1,0,0.0,1,겨울
2023-02-11,3,느티나무 셀프BBQ,1인 수저세트,2,토요일,0,1,0,0.0,1,겨울
2023-02-12,0,느티나무 셀프BBQ,1인 수저세트,2,일요일,1,0,0,0.0,1,겨울
2023-02-13,10,느티나무 셀프BBQ,1인 수저세트,2,월요일,1,0,0,0.0,1,겨울
2023-02-14,11,느티나무 셀프BBQ,1인 수저세트,2,화요일,1,0,0,0.0,1,겨울
2023-02-15,0,느티나무 셀프BBQ,1인 수저세트,2,수요일,1,0,0,0.0,1,겨울
2023-02-16,0,느티나무 셀프BBQ,1인 수저세트,2,목요일,1,0,0,0.0,1,겨울
