영업장명,메뉴명,계절,요일,쉬는날,내일도 쉬어,매출수량
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,8
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,1,1,4
느티나무 셀프BBQ,1인 수저세트,겨울,화,1,0,2
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,8
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,8
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,4
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,6
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,2
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,2
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,2
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,4
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,5
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,6
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,6
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,3
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,10
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,11
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,9
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,2
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,10
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,2
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,8
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,7
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,6
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,6
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,월,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,화,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,수,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,목,0,0,0
느티나무 셀프BBQ,1인 수저세트,겨울,금,0,1,0
느티나무 셀프BBQ,1인 수저세트,겨울,토,1,1,22
느티나무 셀프BBQ,1인 수저세트,겨울,일,1,0,0
